name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.layers.36.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.106,0.112,356.73,336.65,32097248,0.8503
decoder.layers.37.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.063,0.062,0.26,0.27,14304,0.873
decoder.layers.37.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.272,0.236,824.28,951.61,189261248,0.8434
decoder.layers.37.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.172,0.138,653.9,812.78,94576736,0.8429
decoder.layers.37.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.069,0.059,0.24,0.28,14272,0.8711
decoder.layers.37.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.064,0.26,0.25,14304,0.873
decoder.layers.37.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.098,0.105,343.11,320.71,28274176,0.8426
decoder.layers.37.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.047,0.16,0.19,8432,0.9149
decoder.layers.37.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.063,0.26,0.26,14288,0.8721
decoder.layers.37.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.102,0.104,368.39,363.01,32070912,0.8496
decoder.layers.38.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.068,0.059,0.24,0.28,14304,0.873
decoder.layers.38.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.278,0.236,806.64,952.5,189881536,0.8462
decoder.layers.38.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.174,0.138,646.36,812.59,94786720,0.8448
decoder.layers.38.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.06,0.23,0.27,14304,0.873
decoder.layers.38.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.24,0.28,14320,0.874
decoder.layers.38.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.1,0.104,334.99,321.55,28280336,0.8428
decoder.layers.38.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.047,0.15,0.2,8448,0.9167
decoder.layers.38.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.065,0.26,0.25,14304,0.873
decoder.layers.38.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.106,361.58,356.05,32069152,0.8495
decoder.layers.39.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14336,0.875
decoder.layers.39.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.237,820.26,947.78,190658640,0.8497
decoder.layers.39.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.173,0.137,648.69,819.06,94974320,0.8465
decoder.layers.39.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.066,0.059,0.25,0.28,14288,0.8721
