[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22850352 bytes, ratio: 0.680994x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22861120 bytes, ratio: 0.681314x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22791504 bytes, ratio: 0.67924x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22842832 bytes, ratio: 0.680769x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22886688 bytes, ratio: 0.682076x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 23040400 bytes, ratio: 0.686657x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22875648 bytes, ratio: 0.681747x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22959488 bytes, ratio: 0.684246x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22971248 bytes, ratio: 0.684597x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22832192 bytes, ratio: 0.680452x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22875728 bytes, ratio: 0.68175x
[ERROR | RDMA | ip-172-31-36-157 | 3568210 | 3568210 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 33554432 bytes to 22850352 bytes, ratio: 0.680994x
